,Monitor,Fecha,Grupo
0,Alerta Log NSAI91PR3,15/04/22 05:47 PM,PREI: BD: NSAI91PR: Alerta Log
1,Alerta Log NSAI91PR3,19/04/22 08:17 PM,PREI: BD: NSAI91PR: Alerta Log
2,CPU imsssp13ap03,21/04/22 07:02 PM,SHAREPOINT -PRD: Sistema: imsssp13ap03
3,CPU s5vpappspre16,18/04/22 10:23 AM,PREI: Sistema: s5vpappspre16
4,CPU s5vpappspre16,19/04/22 01:13 PM,PREI: Sistema: s5vpappspre16
5,CPU s5vpappspre16,20/04/22 10:43 AM,PREI: Sistema: s5vpappspre16
6,CPU s5vpappspre16,20/04/22 11:23 AM,PREI: Sistema: s5vpappspre16
7,CPU s5vpappspre16,20/04/22 11:23 AM,PREI: Sistema: s5vpappspre16
8,CPU s5vpappspre16,20/04/22 01:03 PM,PREI: Sistema: s5vpappspre16
9,CPU s5vpappspre16,20/04/22 02:13 PM,PREI: Sistema: s5vpappspre16
10,CPU s5vpappspre16,21/04/22 01:43 PM,PREI: Sistema: s5vpappspre16
11,CPU s5vpappspre16,21/04/22 03:13 PM,PREI: Sistema: s5vpappspre16
12,CPU s5vpappspre16,21/04/22 04:13 PM,PREI: Sistema: s5vpappspre16
13,CPU s5vpeceap02,18/04/22 12:44 PM,NECE: Sistema: s5vpeceap02
14,CPU s5vpeceap02,19/04/22 11:28 AM,NECE: Sistema: s5vpeceap02
15,CPU s5vpeceap02,21/04/22 11:46 AM,NECE: Sistema: s5vpeceap02
16,CPU s5vpeceap02,21/04/22 12:24 PM,NECE: Sistema: s5vpeceap02
17,CPU s5vpeceap02,21/04/22 12:44 PM,NECE: Sistema: s5vpeceap02
18,CPU s5vpeceap02,21/04/22 01:34 PM,NECE: Sistema: s5vpeceap02
19,CPU s5vpeceap03,18/04/22 12:38 PM,NECE: Sistema: s5vpeceap03
20,CPU s5vpeceap03,21/04/22 11:36 AM,NECE: Sistema: s5vpeceap03
21,CPU s5vpeceap03,21/04/22 12:45 PM,NECE: Sistema: s5vpeceap03
22,CPU s5vpeceap05,18/04/22 10:39 AM,NECE: Sistema: s5vpeceap05
23,CPU s5vpeceap05,18/04/22 12:36 PM,NECE: Sistema: s5vpeceap05
24,CPU s5vpeceap05,21/04/22 11:52 AM,NECE: Sistema: s5vpeceap05
25,CPU s5vpeceap05,21/04/22 12:29 PM,NECE: Sistema: s5vpeceap05
26,CPU s5vpeceap05,21/04/22 01:29 PM,NECE: Sistema: s5vpeceap05
27,CPU s5vpeceap06,18/04/22 12:36 PM,NECE: Sistema: s5vpeceap06
28,CPU s5vpeceap06,18/04/22 02:06 PM,NECE: Sistema: s5vpeceap06
29,CPU s5vpeceap06,19/04/22 12:48 PM,NECE: Sistema: s5vpeceap06
30,CPU s5vpeceap06,21/04/22 12:36 PM,NECE: Sistema: s5vpeceap06
31,CPU s5vpeceap08,18/04/22 12:21 PM,NECE: Sistema: s5vpeceap08
32,CPU s5vpeceap08,18/04/22 12:44 PM,NECE: Sistema: s5vpeceap08
33,CPU s5vpeceap08,18/04/22 01:37 PM,NECE: Sistema: s5vpeceap08
34,CPU s5vpeceap08,21/04/22 09:18 AM,NECE: Sistema: s5vpeceap08
35,CPU s5vpeceap08,21/04/22 11:27 AM,NECE: Sistema: s5vpeceap08
36,CPU s5vpeceap08,21/04/22 01:21 PM,NECE: Sistema: s5vpeceap08
37,CPU s5vpeceap09,18/04/22 10:48 AM,NECE: Sistema: s5vpeceap09
38,CPU s5vpeceap09,18/04/22 12:44 PM,NECE: Sistema: s5vpeceap09
39,CPU s5vpeceap09,19/04/22 10:41 AM,NECE: Sistema: s5vpeceap09
40,CPU s5vpeceap09,21/04/22 01:48 PM,NECE: Sistema: s5vpeceap09
41,CPU s5vpeceap10,18/04/22 11:45 AM,NECE: Sistema: s5vpeceap10
42,CPU s5vpeceap10,18/04/22 12:38 PM,NECE: Sistema: s5vpeceap10
43,CPU s5vpeceap10,18/04/22 01:19 PM,NECE: Sistema: s5vpeceap10
44,CPU s5vpeceap10,20/04/22 11:00 AM,NECE: Sistema: s5vpeceap10
45,CPU s5vpeceap10,21/04/22 12:19 PM,NECE: Sistema: s5vpeceap10
46,CPU s5vpeceap10,21/04/22 01:39 PM,NECE: Sistema: s5vpeceap10
47,CPU s5vpeceap11,18/04/22 12:41 PM,NECE: Sistema: s5vpeceap11
48,CPU s5vpeceap11,20/04/22 10:21 AM,NECE: Sistema: s5vpeceap11
49,CPU s5vpeceap11,20/04/22 11:03 AM,NECE: Sistema: s5vpeceap11
50,CPU s5vpsatbms01,18/04/22 11:06 PM,SATI: Sistema: s5vpsatbms01
51,CPU s5vpsatbms01,19/04/22 04:36 AM,SATI: Sistema: s5vpsatbms01
52,CPU s5vpsatbms01,19/04/22 11:04 PM,SATI: Sistema: s5vpsatbms01
53,CPU s5vpsatbms01,20/04/22 04:35 AM,SATI: Sistema: s5vpsatbms01
54,CPU s5vpsatbms01,20/04/22 04:40 AM,SATI: Sistema: s5vpsatbms01
55,CPU s5vpsatbms01,20/04/22 11:07 PM,SATI: Sistema: s5vpsatbms01
56,CPU s5vpsatbms01,21/04/22 04:36 AM,SATI: Sistema: s5vpsatbms01
57,CPU s5vpsatbms01,21/04/22 11:04 PM,SATI: Sistema: s5vpsatbms01
58,Datafiles Available,15/04/22 11:37 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
59,Datafiles Available,15/04/22 11:37 PM,PREI: BD: SMIPR91K: SMIPR91K:Disponibilidad
60,Datafiles Available,15/04/22 11:38 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
61,Datafiles Available,15/04/22 11:42 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
62,Datafiles Available,15/04/22 11:51 PM,PREI: BD: SMIPR91K: SMIPR91K:Disponibilidad
63,Datafiles Available,15/04/22 11:52 PM,PREI: BD: EPPROD91: EPPROD91:Disponibilidad
64,Datafiles Available,15/04/22 11:53 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
65,Datafiles Available,16/04/22 11:07 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
66,Datafiles Available,16/04/22 11:37 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
67,Datafiles Available,16/04/22 11:38 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
68,Datafiles Available,16/04/22 11:41 PM,PREI: BD: EPPROD91: EPPROD91:Disponibilidad
69,Datafiles Available,16/04/22 11:42 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
70,Datafiles Available,16/04/22 11:46 PM,PREI: BD: EPPROD91: EPPROD91:Disponibilidad
71,Datafiles Available,16/04/22 11:49 PM,PREI: BD: FNPROD91: FNPROD91:Disponibilidad
72,Datafiles Available,16/04/22 11:49 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
73,Datafiles Available,16/04/22 11:50 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
74,Datafiles Available,16/04/22 11:51 PM,PREI: BD: EPPROD91: EPPROD91:Disponibilidad
75,Datafiles Available,16/04/22 11:53 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
76,Datafiles Available,16/04/22 11:53 PM,PREI: BD: SMIPR91K: SMIPR91K:Disponibilidad
77,Datafiles Available,16/04/22 11:56 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
78,Datafiles Available,18/04/22 11:13 PM,PREI: BD: FNPROD91: FNPROD91:Disponibilidad
79,Datafiles Available,18/04/22 11:37 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
80,Datafiles Available,18/04/22 11:37 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
81,Datafiles Available,18/04/22 11:42 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
82,Datafiles Available,18/04/22 11:44 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
83,Datafiles Available,18/04/22 11:47 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
84,Datafiles Available,18/04/22 11:47 PM,PREI: BD: SMIPR91K: SMIPR91K:Disponibilidad
85,Datafiles Available,18/04/22 11:52 PM,PREI: BD: EPPROD91: EPPROD91:Disponibilidad
86,Datafiles Available,19/04/22 11:38 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
87,Datafiles Available,19/04/22 11:39 PM,PREI: BD: SMIPR91K: SMIPR91K:Disponibilidad
88,Datafiles Available,19/04/22 11:42 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
89,Datafiles Available,19/04/22 11:43 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
90,Datafiles Available,19/04/22 11:46 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
91,Datafiles Available,19/04/22 11:50 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
92,Datafiles Available,19/04/22 11:53 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
93,Datafiles Available,19/04/22 11:55 PM,PREI: BD: EPPROD91: EPPROD91:Disponibilidad
94,Datafiles Available,19/04/22 11:57 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
95,Datafiles Available,19/04/22 11:58 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
96,Datafiles Available,21/04/22 11:14 PM,PREI: BD: FNPROD91: FNPROD91:Disponibilidad
97,Datafiles Available,21/04/22 11:37 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
98,Datafiles Available,21/04/22 11:37 PM,PREI: BD: NSAI91PR: NSAI91PR:Disponibilidad
99,Datafiles Available,21/04/22 11:40 PM,PREI: BD: SMIPR91K: SMIPR91K:Disponibilidad
100,Datafiles Available,21/04/22 11:45 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
101,Datafiles Available,21/04/22 11:45 PM,PREI: BD: SMIPR91K: SMIPR91K:Disponibilidad
102,Datafiles Available,21/04/22 11:52 PM,PREI: BD: EPPROD91: EPPROD91:Disponibilidad
103,Datafiles Available,21/04/22 11:53 PM,PREI: BD: FINBDPRK: FINBDPRK:Disponibilidad
104,Diskgroup % Used,15/04/22 04:10 AM,NECE: BD: NECEBDPR: Capacidad
105,Diskgroup % Used,17/04/22 12:30 AM,NECE: BD: NECEBDPR: Capacidad
106,Diskgroup % Used,17/04/22 02:59 PM,NECE: BD: MIGRAECE: MIGRAECE:Capacidad
107,Diskgroup % Used,18/04/22 04:19 AM,NECE: BD: MIGRAECE: MIGRAECE:Capacidad
108,Diskgroup % Used,18/04/22 07:40 AM,NECE: BD: NECEBDPR: Capacidad
109,Diskgroup % Used,19/04/22 04:10 AM,NECE: BD: NECEBDPR: Capacidad
110,Diskgroup % Used,20/04/22 02:30 AM,NECE: BD: NECEBDPR: Capacidad
111,Diskgroup % Used,20/04/22 04:09 AM,NECE: BD: MIGRAECE: MIGRAECE:Capacidad
112,Diskgroup % Used,20/04/22 04:10 AM,NECE: BD: NECEBDPR: Capacidad
113,Diskgroup % Used,21/04/22 04:10 AM,NECE: BD: NECEBDPR: Capacidad
114,Diskgroup %Used,15/04/22 11:38 PM,PREI: BD: NSAI91PR: NSAI91PR:Capacidad
115,Diskgroup %Used,15/04/22 11:40 PM,PREI: BD: SMIPR91K: SMIPR91K:Capacidad
116,Diskgroup %Used,16/04/22 11:48 PM,PREI: BD: NSAI91PR: NSAI91PR:Capacidad
117,Diskgroup %Used,16/04/22 11:56 PM,PREI: BD: EPPROD91: EPPROD91:Capacidad
118,Diskgroup %Used,18/04/22 11:38 PM,PREI: BD: FINBDPRK: FINBDPRK:Capacidad
119,Diskgroup %Used,18/04/22 11:38 PM,PREI: BD: NSAI91PR: NSAI91PR:Capacidad
120,Diskgroup %Used,19/04/22 11:38 PM,PREI: BD: FINBDPRK: FINBDPRK:Capacidad
121,Diskgroup %Used,19/04/22 11:38 PM,PREI: BD: NSAI91PR: NSAI91PR:Capacidad
122,Diskgroup %Used,21/04/22 11:38 PM,PREI: BD: FINBDPRK: FINBDPRK:Capacidad
123,Diskgroup FreeGB,15/04/22 02:00 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
124,Diskgroup FreeGB,15/04/22 02:50 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
125,Diskgroup FreeGB,15/04/22 03:40 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
126,Diskgroup FreeGB,15/04/22 04:30 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
127,Diskgroup FreeGB,15/04/22 05:20 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
128,Diskgroup FreeGB,15/04/22 06:10 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
129,Diskgroup FreeGB,15/04/22 07:00 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
130,Diskgroup FreeGB,15/04/22 07:50 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
131,Diskgroup FreeGB,15/04/22 08:40 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
132,Diskgroup FreeGB,15/04/22 09:30 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
133,Diskgroup FreeGB,15/04/22 10:20 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
134,Diskgroup FreeGB,15/04/22 11:10 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
135,Diskgroup FreeGB,15/04/22 12:00 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
136,Diskgroup FreeGB,15/04/22 12:50 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
137,Diskgroup FreeGB,15/04/22 01:40 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
138,Diskgroup FreeGB,15/04/22 02:30 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
139,Diskgroup FreeGB,15/04/22 03:20 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
140,Diskgroup FreeGB,15/04/22 04:10 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
141,Diskgroup FreeGB,15/04/22 05:00 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
142,Diskgroup FreeGB,15/04/22 05:50 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
143,Diskgroup FreeGB,15/04/22 06:40 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
144,Diskgroup FreeGB,15/04/22 07:30 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
145,Diskgroup FreeGB,15/04/22 08:20 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
146,Diskgroup FreeGB,15/04/22 09:10 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
147,Diskgroup FreeGB,15/04/22 10:00 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
148,Diskgroup FreeGB,15/04/22 10:50 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
149,Diskgroup FreeGB,15/04/22 11:40 PM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
150,Diskgroup FreeGB,16/04/22 12:30 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
151,Diskgroup FreeGB,16/04/22 01:20 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
152,Diskgroup FreeGB,16/04/22 02:10 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
153,Diskgroup FreeGB,16/04/22 03:00 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
154,Diskgroup FreeGB,16/04/22 03:50 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
155,Diskgroup FreeGB,16/04/22 04:40 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
156,Diskgroup FreeGB,16/04/22 05:30 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
157,Diskgroup FreeGB,16/04/22 06:20 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
158,Diskgroup FreeGB,16/04/22 07:10 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
159,Diskgroup FreeGB,16/04/22 08:00 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
160,Diskgroup FreeGB,16/04/22 08:50 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
161,Diskgroup FreeGB,16/04/22 09:40 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
162,Diskgroup FreeGB,16/04/22 10:30 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
163,Diskgroup FreeGB,16/04/22 11:20 AM,CSI - HEMODIALISIS: BD: CSIBDPR: CSIBDPR:Capacidad
